title,popularity,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
We Don't Care,66,0.595,0.754,-5.827,0.0142,0.0,0.247,0.647,83.155,239880,4
All Falls Down,80,0.657,0.734,-4.832,0.149,0.0,0.139,0.434,91.03,223507,4
I'll Fly Away,55,0.239,0.25,-11.414,0.76,0.0,0.124,0.564,172.338,69707,4
Spaceship,66,0.507,0.753,-5.31,0.503,0.0,0.573,0.657,178.068,324227,3
Jesus Walks,72,0.637,0.834,-4.686,0.614,0.0,0.317,0.715,87.312,193733,4
Never Let Me Down,63,0.459,0.816,-4.872,0.423,0.0,0.169,0.643,80.293,324440,4
Get Em High,60,0.614,0.644,-5.672,0.184,0.0,0.489,0.649,84.788,289493,4
Workout Plan,52,0.715,0.288,-13.843,0.785,0.0,0.688,0.772,115.114,46173,4
The New Workout Plan,63,0.704,0.792,-4.831,0.00981,0.0,0.365,0.646,118.022,322800,4
Slow Jamz,72,0.559,0.733,-5.659,0.314,0.0,0.284,0.611,145.115,316053,4
Breathe In Breathe Out,58,0.636,0.7,-3.099,0.341,0.0,0.161,0.924,88.817,246933,4
School Spirit,57,0.483,0.787,-5.422,0.339,0.0,0.236,0.592,84.81,182387,4
Two Words,62,0.442,0.807,-4.753,0.0158,6.43e-06,0.217,0.446,84.649,266213,4
Through The Wire,76,0.571,0.739,-6.11,0.00865,5.21e-06,0.158,0.66,83.089,221227,4
Family Business,66,0.744,0.524,-7.452,0.139,0.0,0.392,0.606,93.691,278893,4
Last Call,60,0.473,0.727,-6.843,0.577,0.0,0.316,0.854,83.212,760973,4
Heard 'Em Say,65,0.744,0.696,-8.313,0.0535,0.0454,0.128,0.563,95.07,203733,4
Touch The Sky,73,0.552,0.846,-4.912,0.0114,0.0,0.309,0.554,98.56,236600,1
Gold Digger,80,0.629,0.696,-5.572,0.0195,0.0,0.0554,0.623,93.034,207627,4
Drive Slow,60,0.593,0.593,-8.216,0.0306,9.94e-06,0.229,0.488,81.291,272227,1
My Way Home,53,0.593,0.596,-10.488,0.33,0.0,0.0976,0.776,86.965,103373,4
Crack Music,54,0.726,0.712,-6.288,0.00975,0.000477,0.345,0.554,168.121,270867,5
Roses,60,0.723,0.465,-6.454,0.259,2.7e-05,0.108,0.513,97.702,245867,4
Bring Me Down,53,0.385,0.691,-6.919,0.00592,0.0,0.595,0.352,111.278,198973,5
Addiction,57,0.504,0.756,-8.318,0.184,0.0,0.252,0.55,115.264,267067,4
Diamonds From Sierra Leone - Remix,61,0.672,0.814,-3.768,0.258,0.0,0.164,0.379,97.043,233400,4
We Major,61,0.234,0.88,-3.66,0.0107,0.0,0.045,0.216,85.641,448000,4
Hey Mama,63,0.583,0.754,-6.993,0.0593,0.0,0.113,0.347,95.784,305067,4
Celebration,53,0.295,0.776,-4.199,0.0164,1.41e-06,0.118,0.35,79.992,198440,4
Gone,58,0.842,0.668,-6.043,0.015,0.0,0.0699,0.345,92.703,333293,4
Late,56,0.334,0.843,-5.928,0.197,3.95e-06,0.295,0.616,75.281,230493,4
Say You Will,57,0.603,0.401,-10.155,0.542,0.225,0.103,0.347,172.633,377600,4
Welcome To Heartbreak,62,0.677,0.435,-11.024,0.0985,0.721,0.111,0.0729,95.991,262933,4
Heartless,83,0.79,0.647,-5.983,0.0515,0.0,0.248,0.654,87.999,211000,4
Amazing,65,0.588,0.554,-8.406,0.216,0.118,0.0619,0.496,146.133,238333,4
Love Lockdown,67,0.76,0.524,-7.67,0.0542,0.5,0.112,0.112,119.603,270307,4
Paranoid,64,0.587,0.611,-7.408,0.114,9.83e-05,0.0765,0.464,114.991,277907,4
RoboCop,57,0.698,0.447,-8.04,0.157,0.00564,0.405,0.407,133.776,274360,4
Street Lights,63,0.644,0.487,-9.654,0.0287,0.0166,0.206,0.467,125.528,189907,4
Bad News,56,0.749,0.436,-11.99,0.0288,0.201,0.114,0.167,106.171,238773,4
See You In My Nightmares,56,0.676,0.432,-8.035,0.0626,0.0,0.103,0.156,124.597,258120,4
Coldest Winter,58,0.761,0.516,-10.229,0.171,3.21e-06,0.265,0.562,133.999,164333,4
Pinocchio Story,50,0.341,0.281,-13.204,0.95,0.0,0.948,0.306,74.997,361600,4
Good Morning,20,0.48,0.631,-5.488,0.0791,0.000105,0.149,0.515,84.164,195093,4
Champion,16,0.693,0.504,-8.306,0.00299,0.0,0.695,0.723,102.139,167600,4
Stronger,31,0.617,0.717,-7.858,0.00564,0.0,0.408,0.49,103.992,311867,4
I Wonder,25,0.542,0.466,-8.665,0.141,0.000445,0.125,0.124,191.385,243440,4
Good Life,23,0.439,0.808,-6.881,0.00305,0.0,0.439,0.487,82.962,207000,4
Can't Tell Me Nothing,24,0.596,0.62,-6.133,0.0122,0.0,0.82,0.102,80.029,271600,4
Barry Bonds,8,0.48,0.624,-6.131,0.0451,0.0,0.337,0.704,165.057,204307,4
Drunk and Hot Girls,8,0.661,0.442,-7.297,0.0697,1.15e-05,0.136,0.299,82.758,313227,3
Flashing Lights,29,0.639,0.628,-7.578,0.0381,0.0,0.386,0.43,90.482,237507,4
Everything I Am,15,0.631,0.623,-6.969,0.463,1.7e-06,0.151,0.765,80.23,227893,4
The Glory,9,0.423,0.643,-7.261,0.0455,0.0,0.172,0.708,84.336,212707,4
Homecoming,24,0.667,0.747,-7.059,0.337,0.0,0.115,0.918,86.917,203493,4
Big Brother,9,0.498,0.742,-6.248,0.214,0.0,0.0641,0.302,78.428,287573,4
Dark Fantasy,69,0.599,0.587,-5.919,0.274,0.0,0.167,0.373,87.998,280787,4
Gorgeous,71,0.598,0.713,-3.625,0.0207,0.000175,0.431,0.118,91.964,357653,4
POWER,78,0.542,0.914,-4.747,0.0161,0.0,0.744,0.576,153.993,292093,4
All Of The Lights (Interlude),59,0.296,0.0792,-16.569,0.902,0.591,0.128,0.496,110.95,62253,3
All Of The Lights,76,0.531,0.803,-3.284,0.0796,1.71e-05,0.176,0.221,142.113,299613,4
Monster,72,0.628,0.692,-5.64,0.00244,0.0129,0.668,0.0963,124.887,378893,5
So Appalled,61,0.64,0.754,-5.873,0.255,0.0,0.63,0.584,87.15,397667,4
Devil In A New Dress,79,0.435,0.76,-4.935,0.0175,0.0,0.158,0.206,80.082,351947,4
Runaway,78,0.374,0.568,-3.825,0.219,0.00219,0.513,0.111,84.733,547733,4
Hell Of A Life,63,0.449,0.813,-5.478,0.00142,0.000172,0.106,0.452,177.962,327787,4
Blame Game,61,0.419,0.581,-5.964,0.306,6.3e-05,0.11,0.636,80.305,469867,1
Lost In The World,64,0.608,0.746,-5.249,0.115,0.0087,0.427,0.277,117.072,256587,4
Who Will Survive In America,54,0.677,0.842,-6.111,0.228,0.000684,0.856,0.595,116.166,98200,4
No Church In The Wild,71,0.654,0.75,-7.509,0.246,0.0178,0.167,0.557,92.78,272507,4
Lift Off,59,0.404,0.784,-7.584,0.188,0.00178,0.165,0.289,179.439,266253,3
Ni**as In Paris,84,0.789,0.858,-5.542,0.127,0.0,0.349,0.775,140.022,219333,4
Otis,70,0.754,0.631,-4.751,0.552,0.0,0.5,0.432,94.577,178213,4
Gotta Have It,67,0.74,0.574,-6.938,0.411,0.0,0.262,0.33,149.762,140747,4
New Day,55,0.561,0.645,-6.808,0.388,7.43e-05,0.142,0.36,91.012,272853,4
That's My Bitch,54,0.744,0.871,-6.291,0.237,0.000287,0.121,0.497,108.982,202560,4
Welcome To The Jungle,51,0.636,0.93,-5.179,0.0128,3.7e-06,0.18,0.325,92.899,174133,4
Who Gon Stop Me,60,0.593,0.73,-4.638,0.0408,0.000156,0.715,0.377,133.879,256707,4
Murder To Excellence,59,0.566,0.815,-4.741,0.0242,0.0,0.0804,0.576,87.353,300960,4
Made In America,52,0.705,0.729,-7.01,0.0428,5.86e-05,0.224,0.549,165.901,292067,4
Why I Love You,58,0.48,0.808,-4.133,0.0259,0.0,0.269,0.37,123.387,201373,4
Illest Motherf**ker Alive,49,0.537,0.663,-6.412,0.172,1.58e-06,0.607,0.295,139.979,503320,4
H•A•M,56,0.657,0.524,-4.907,0.0462,0.0,0.322,0.0383,140.021,275733,4
Primetime,53,0.662,0.923,-4.085,0.166,1.01e-05,0.311,0.47,84.99,199240,4
The Joy,50,0.555,0.516,-6.256,0.146,3.09e-05,0.139,0.327,79.61,317920,4
On Sight,68,0.605,0.469,-3.182,0.487,0.0,0.28,0.515,101.601,156480,4
Black Skinhead,75,0.766,0.809,-6.123,0.0011,0.0,0.168,0.325,130.127,188013,4
I Am A God,60,0.51,0.532,-7.405,0.0367,0.000794,0.165,0.305,111.885,231507,4
New Slaves,65,0.506,0.59,-4.322,0.165,1.09e-05,0.096,0.359,141.099,256093,4
Hold My Liquor,66,0.497,0.322,-10.358,0.0194,7.72e-06,0.115,0.04,106.976,326947,4
I'm In It,59,0.485,0.604,-4.591,0.141,0.0,0.0668,0.45,170.337,234853,4
Blood On The Leaves,67,0.397,0.69,-4.108,0.395,0.0,0.101,0.36,172.073,359800,4
Guilt Trip,58,0.439,0.666,-6.078,0.159,9.56e-06,0.129,0.579,137.9,243747,4
Send It Up,58,0.579,0.544,-5.193,0.292,7.41e-05,0.282,0.365,93.562,178040,4
Bound 2,84,0.367,0.665,-2.821,0.145,0.0,0.113,0.31,148.913,229147,4
Ultralight Beam,71,0.592,0.403,-8.768,0.62,0.0,0.54,0.391,105.169,320680,4
Father Stretch My Hands Pt. 1,82,0.724,0.573,-4.113,0.118,0.0,0.538,0.438,113.088,135920,4
Pt. 2,68,0.674,0.752,-4.073,0.552,0.0,0.787,0.236,145.076,130293,4
Famous,74,0.465,0.735,-3.715,0.0711,0.0,0.0975,0.409,173.935,196040,4
Feedback,62,0.811,0.566,-6.033,0.563,0.0,0.104,0.169,100.224,147240,4
Low Lights,57,0.603,0.593,-4.685,0.706,0.0,0.121,0.523,101.956,131773,4
Highlights,61,0.547,0.626,-6.244,0.00572,0.0,0.313,0.346,101.971,199867,4
Freestyle 4,58,0.564,0.537,-8.381,0.0449,0.0,0.0907,0.459,126.036,123387,4
I Love Kanye,64,0.756,0.374,-7.966,0.594,0.0,0.217,0.966,80.326,44827,4
Waves,74,0.557,0.586,-4.57,0.0528,7.33e-06,0.339,0.0681,96.091,181573,4
FML,66,0.527,0.415,-7.184,0.329,0.0,0.195,0.12,125.357,236120,4
Real Friends,66,0.441,0.744,-6.248,0.262,0.000382,0.138,0.124,81.396,251573,4
Wolves,70,0.395,0.392,-8.034,0.219,0.00173,0.134,0.103,155.856,301587,4
Frank's Track,59,0.655,0.179,-6.903,0.976,0.0,0.105,0.758,140.687,38333,4
Siiiiiiiiilver Surffffeeeeer Intermission,53,0.788,0.409,-11.917,0.982,0.000203,0.11,0.925,72.623,56560,4
30 Hours,64,0.823,0.813,-6.71,0.0359,0.0,0.0886,0.373,95.012,323303,4
No More Parties In LA,72,0.508,0.921,-1.644,0.246,0.0,0.221,0.681,93.058,374413,4
Facts (Charlie Heat Version),60,0.777,0.662,-3.761,0.0518,0.0,0.168,0.4,142.059,200733,4
Fade,67,0.752,0.765,-5.805,0.118,0.0,0.31,0.309,105.998,193748,4
Saint Pablo,69,0.461,0.772,-3.98,0.282,0.0,0.178,0.414,167.018,372113,4
I Thought About Killing You,62,0.752,0.396,-7.932,0.867,0.0,0.0486,0.417,116.016,274187,4
Yikes,66,0.683,0.776,-3.251,0.15,0.0,0.227,0.223,173.996,188773,4
All Mine,75,0.925,0.31,-6.531,0.123,0.0,0.0931,0.291,121.927,145507,4
Wouldn't Leave,62,0.556,0.432,-8.551,0.495,0.0,0.308,0.352,164.235,205547,4
No Mistakes,63,0.643,0.646,-2.442,0.0393,0.0,0.109,0.35,80.174,123040,4
Ghost Town,77,0.573,0.545,-4.247,0.0969,0.0,0.329,0.297,83.378,271387,4
Violent Crimes,77,0.669,0.419,-6.724,0.376,0.0,0.187,0.0397,109.813,215320,4
Feel The Love,63,0.58,0.469,-5.946,0.126,7.32e-05,0.099,0.369,110.573,165053,4
Fire,60,0.709,0.751,-3.801,0.472,4.71e-06,0.182,0.37,104.999,140527,4
4th Dimension,69,0.765,0.542,-6.755,0.278,1.87e-05,0.609,0.734,171.945,153351,4
Freeee (Ghost Town Pt. 2),59,0.334,0.81,-4.855,0.00457,0.0,0.158,0.306,151.643,206605,4
Reborn,71,0.585,0.597,-7.499,0.339,0.0404,0.195,0.227,100.051,324674,4
Kids See Ghosts,60,0.841,0.682,-7.007,0.113,9.65e-05,0.131,0.338,94.985,245098,4
Cudi Montage,63,0.729,0.504,-6.784,0.401,1.44e-06,0.121,0.305,110.011,197001,4
Every Hour,55,0.588,0.793,-6.23,0.466,0.000647,0.913,0.694,76.997,112239,5
Selah,60,0.482,0.618,-5.673,0.647,0.000859,0.32,0.146,90.076,164620,3
Follow God,73,0.529,0.9,-3.503,0.000248,1.21e-05,0.0426,0.434,180.291,104591,4
Closed On Sunday,61,0.799,0.291,-7.353,0.873,0.000641,0.139,0.406,97.984,151873,4
On God,61,0.41,0.886,-4.413,0.0671,0.0,0.461,0.393,72.577,136351,4
Everything We Need,59,0.894,0.416,-6.823,0.312,0.0,0.146,0.463,116.96,116560,4
Water,55,0.505,0.281,-12.404,0.57,0.000254,0.163,0.283,82.338,168420,4
God Is,58,0.656,0.637,-3.867,0.34,0.0,0.187,0.267,105.037,203141,4
Hands On,55,0.514,0.393,-8.72,0.558,0.0,0.282,0.598,78.039,203174,4
Use This Gospel,61,0.611,0.459,-3.926,0.614,0.0,0.126,0.177,148.28,213878,4
Jesus Is Lord,54,0.243,0.26,-5.876,0.828,4.03e-05,0.532,0.327,76.61,49293,3
XTCY,46,0.553,0.759,-3.385,0.213,0.0,0.726,0.246,94.046,176613,4
Lift Yourself,59,0.877,0.435,-8.131,0.0108,1.88e-06,0.115,0.589,98.008,147905,4
All Day,61,0.861,0.651,-4.718,0.0739,0.0,0.211,0.421,122.985,310907,4
FourFiveSeconds,78,0.582,0.272,-5.662,0.875,0.0,0.13,0.354,205.846,188238,4
Only One,59,0.732,0.243,-6.023,0.939,0.0,0.111,0.106,102.087,280227,4
Clique,1,0.704,0.569,-4.998,0.0488,0.0,0.191,0.313,109.314,293533,5
Mercy,74,0.563,0.496,-9.381,0.0685,5.8e-05,0.173,0.426,139.993,329320,4
New God Flow,53,0.493,0.914,-2.963,0.393,0.0,0.353,0.519,173.694,294907,4
Wash Us In The Blood,58,0.67,0.847,-4.85,0.184,0.0,0.304,0.381,137.22,189827,4
Donda Chant,1,0.702,0.0474,-15.198,0.00516,1.22e-06,0.147,0.175,102.983,52062,4
Jail,6,0.458,0.571,-6.739,0.535,0.000305,0.0846,0.586,110.013,297000,4
God Breathed,3,0.325,0.311,-7.481,0.289,6.74e-05,0.11,0.0789,92.744,333462,3
Off The Grid,6,0.546,0.64,-5.582,0.0438,0.0,0.137,0.63,137.728,339250,4
Hurricane,29,0.587,0.561,-6.569,0.0466,0.0,0.109,0.351,80.009,243187,4
Praise God,6,0.798,0.545,-6.466,0.00904,9.48e-05,0.258,0.212,118.029,226653,4
Jonah,3,0.459,0.431,-8.375,0.795,0.0,0.274,0.128,177.3,195170,4
Ok Ok,2,0.738,0.471,-9.208,0.319,1.28e-06,0.13,0.283,107.98,204630,5
Junya,2,0.752,0.69,-3.948,0.27,0.0,0.303,0.396,148.07,147669,4
Believe What I Say,3,0.595,0.656,-7.868,0.148,0.0,0.47,0.416,99.811,242400,4
24,2,0.386,0.534,-6.086,0.129,0.0,0.351,0.343,110.057,197898,4
Remote Control,2,0.792,0.548,-7.079,0.0784,7.26e-05,0.167,0.197,110.105,198614,4
Moon,8,0.319,0.236,-9.644,0.898,1.62e-05,0.272,0.254,162.351,156091,4
Heaven and Hell,2,0.764,0.422,-7.265,0.0409,0.0,0.152,0.268,82.986,145301,4
Donda,1,0.534,0.491,-7.945,0.849,0.0,0.192,0.428,105.989,128313,5
Keep My Spirit Alive,2,0.467,0.655,-6.548,0.245,0.000172,0.167,0.0627,166.382,221386,4
Jesus Lord,2,0.477,0.713,-6.805,0.0984,0.00844,0.0879,0.113,106.137,538537,5
New Again,1,0.679,0.673,-5.17,0.066,0.0,0.479,0.295,91.112,183297,4
Tell The Vision,1,0.714,0.417,-11.085,0.209,0.0,0.105,0.213,144.064,104219,3
Lord I Need You,6,0.711,0.428,-7.274,0.145,0.0,0.534,0.197,83.036,162108,4
Pure Souls,2,0.381,0.528,-6.997,0.102,0.0,0.269,0.256,97.207,358622,4
Come to Life,1,0.44,0.465,-6.592,0.689,1.26e-06,0.384,0.241,126.937,310394,4
No Child Left Behind,4,0.161,0.327,-8.059,0.00632,0.792,0.138,0.0815,135.382,178061,3
Jail pt 2,1,0.7,0.572,-6.459,0.453,0.0,0.0871,0.686,109.985,297000,4
Ok Ok pt 2,1,0.641,0.473,-9.068,0.406,2.14e-06,0.13,0.412,82.295,204630,4
Junya pt 2,1,0.753,0.767,-3.773,0.309,0.0,0.279,0.258,148.13,182635,4
Jesus Lord pt 2,1,0.524,0.726,-6.628,0.0705,0.0192,0.0877,0.146,107.4,690732,5
Good Night,59,0.696,0.526,-10.504,0.177,0.0,0.192,0.703,88.931,185973,4
