date,name,author,description,image
"June 19, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"June 19, 2022",BEACH READ,Emily Henry,A relationship develops between a literary fiction author and a romance novelist as they both try to overcome writer’s block.,https://storage.googleapis.com/du-prd/books/images/9781984806734.jpg
"June 19, 2022",ALL YOUR PERFECTS,Colleen Hoover,Quinn and Graham’s marriage depends on past promises.,https://storage.googleapis.com/du-prd/books/images/9781501171604.jpg
"June 19, 2022",MALIBU RISING,Taylor Jenkins Reid,An epic party has serious outcomes for four famous siblings.,https://storage.googleapis.com/du-prd/books/images/9781524798659.jpg
"June 12, 2022",NIGHTWORK,Nora Roberts,"Harry Booth, a master thief, breaks things off with Miranda when a dangerous contact might harm her.",https://storage.googleapis.com/du-prd/books/images/9781250278197.jpg
"June 12, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"June 12, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"June 12, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"June 12, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"June 12, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"June 12, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"June 12, 2022",CLIVE CUSSLER'S DARK VECTOR,Graham Brown,The 19th book in the NUMA Files series. A search for lost treasure puts Kurt Austin and Joe Zavala in the middle of a cyber-war.,https://storage.googleapis.com/du-prd/books/images/9780593419670.jpg
"June 12, 2022",PEOPLE WE MEET ON VACATION,Emily Henry,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,https://storage.googleapis.com/du-prd/books/images/9781984806758.jpg
"June 12, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"June 12, 2022",22 SECONDS,James Patterson and Maxine Paetro,The 22nd book in the Women’s Murder Club series. Lindsay Boxer returns as word gets around about a shipment of drugs and weapons.,https://storage.googleapis.com/du-prd/books/images/9780316499378.jpg
"June 12, 2022",THE SUMMER PLACE,Jennifer Weiner,A wedding between Ruby Danhauser and her pandemic boyfriend at a family beach house in Cape Cod brings to light family secrets.,https://storage.googleapis.com/du-prd/books/images/9781501133572.jpg
"June 12, 2022",MALIBU RISING,Taylor Jenkins Reid,An epic party has serious outcomes for four famous siblings.,https://storage.googleapis.com/du-prd/books/images/9781524798659.jpg
"June 12, 2022",TWO NIGHTS IN LISBON,Chris Pavone,Questions arise when Ariel Pryce’s new husband goes missing.,https://storage.googleapis.com/du-prd/books/images/9780374604769.jpg
"June 12, 2022",DREAM TOWN,David Baldacci,"The third book in the Archer series. Archer, Dash and Callahan search for a missing screenwriter who had a dead body turn up in her home.",https://storage.googleapis.com/du-prd/books/images/9781538719770.jpg
"June 5, 2022",IN THE BLOOD,Jack Carr,The fifth book in the Terminal List series. James Reece goes after the killer of a Mossad operative attached to the C.I.A.,https://storage.googleapis.com/du-prd/books/images/9781982181659.jpg
"June 5, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"June 5, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"June 5, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"June 5, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"June 5, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"June 5, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"June 5, 2022",22 SECONDS,James Patterson and Maxine Paetro,The 22nd book in the Women’s Murder Club series. Lindsay Boxer returns as word gets around about a shipment of drugs and weapons.,https://storage.googleapis.com/du-prd/books/images/9780316499378.jpg
"June 5, 2022",THIS TIME TOMORROW,Emma Straub,A 40-year-old woman finds new meaning in past events when she goes back in time and relives her 16th birthday in 1996.,https://storage.googleapis.com/du-prd/books/images/9780525539001.jpg
"June 5, 2022",PEOPLE WE MEET ON VACATION,Emily Henry,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,https://storage.googleapis.com/du-prd/books/images/9781984806758.jpg
"June 5, 2022",SOMETHING WILDER,Christina Lauren,Lily and Leo must decide how much they will risk in pursuit of love and treasure in the red rock canyons of Utah.,https://storage.googleapis.com/du-prd/books/images/9781982173401.jpg
"June 5, 2022",DREAM TOWN,David Baldacci,"The third book in the Archer series. Archer, Dash and Callahan search for a missing screenwriter who had a dead body turn up in her home.",https://storage.googleapis.com/du-prd/books/images/9781538719770.jpg
"June 5, 2022",THE SUMMER PLACE,Jennifer Weiner,A wedding between Ruby Danhauser and her pandemic boyfriend at a family beach house in Cape Cod brings to light family secrets.,https://storage.googleapis.com/du-prd/books/images/9781501133572.jpg
"June 5, 2022",MALIBU RISING,Taylor Jenkins Reid,An epic party has serious outcomes for four famous siblings.,https://storage.googleapis.com/du-prd/books/images/9781524798659.jpg
"June 5, 2022",BETTER OFF DEAD,Lee Child and Andrew Child,The 26th book in the Jack Reacher series. Reacher helps an F.B.I. agent look for her missing brother and takes on a foe named Dendoncker.,https://storage.googleapis.com/du-prd/books/images/9781984818508.jpg
"May 29, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"May 29, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"May 29, 2022",22 SECONDS,James Patterson and Maxine Paetro,The 22nd book in the Women’s Murder Club series. Lindsay Boxer returns as word gets around about a shipment of drugs and weapons.,https://storage.googleapis.com/du-prd/books/images/9780316499378.jpg
"May 29, 2022",THE SUMMER PLACE,Jennifer Weiner,A wedding between Ruby Danhauser and her pandemic boyfriend at a family beach house in Cape Cod brings to light family secrets.,https://storage.googleapis.com/du-prd/books/images/9781501133572.jpg
"May 29, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"May 29, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"May 29, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"May 29, 2022",BETTER OFF DEAD,Lee Child and Andrew Child,The 26th book in the Jack Reacher series. Reacher helps an F.B.I. agent look for her missing brother and takes on a foe named Dendoncker.,https://storage.googleapis.com/du-prd/books/images/9781984818508.jpg
"May 29, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"May 29, 2022",DREAM TOWN,David Baldacci,"The third book in the Archer series. Archer, Dash and Callahan search for a missing screenwriter who had a dead body turn up in her home.",https://storage.googleapis.com/du-prd/books/images/9781538719770.jpg
"May 29, 2022",THE LIONESS,Chris Bohjalian,"In 1964, a violent kidnapping disrupts a honeymoon holiday in Tanzania for a Hollywood star and her friends.",https://storage.googleapis.com/du-prd/books/images/9780385544825.jpg
"May 29, 2022","RUN, ROSE, RUN",Dolly Parton and James Patterson,A singer-songwriter goes to Nashville seeking stardom but is followed by her dark past.,https://storage.googleapis.com/du-prd/books/images/9780759554344.jpg
"May 29, 2022",PEOPLE WE MEET ON VACATION,Emily Henry,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,https://storage.googleapis.com/du-prd/books/images/9781984806758.jpg
"May 29, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"May 29, 2022",THE LOVE HYPOTHESIS,Ali Hazelwood,A young professor agrees to pretend to be a third-year Ph.D. candidate’s boyfriend.,https://storage.googleapis.com/du-prd/books/images/9780593336823.jpg
"May 22, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"May 22, 2022",22 SECONDS,James Patterson and Maxine Paetro,The 22nd book in the Women’s Murder Club series. Lindsay Boxer returns as word gets around about a shipment of drugs and weapons.,https://storage.googleapis.com/du-prd/books/images/9780316499378.jpg
"May 22, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"May 22, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"May 22, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"May 22, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"May 22, 2022",BOOK OF NIGHT,Holly Black,"A bartender working at a Berkshires dive bar deals with doppelgängers, billionaires and magicians seeking a vast and terrible power.",https://storage.googleapis.com/du-prd/books/images/9781250812193.jpg
"May 22, 2022",THE HOMEWRECKERS,Mary Kay Andrews,A widow starring in a beach house renovation reality show gets caught up in competing love interests and an old missing persons case.,https://storage.googleapis.com/du-prd/books/images/9781250278364.jpg
"May 22, 2022",DREAM TOWN,David Baldacci,"The third book in the Archer series. Archer, Dash and Callahan search for a missing screenwriter who had a dead body turn up in her home.",https://storage.googleapis.com/du-prd/books/images/9781538719770.jpg
"May 22, 2022","RUN, ROSE, RUN",Dolly Parton and James Patterson,A singer-songwriter goes to Nashville seeking stardom but is followed by her dark past.,https://storage.googleapis.com/du-prd/books/images/9780759554344.jpg
"May 22, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"May 22, 2022",BETTER OFF DEAD,Lee Child and Andrew Child,The 26th book in the Jack Reacher series. Reacher helps an F.B.I. agent look for her missing brother and takes on a foe named Dendoncker.,https://storage.googleapis.com/du-prd/books/images/9781984818508.jpg
"May 22, 2022",THE BOOK WOMAN'S DAUGHTER,Kim Michele Richardson,Honey Lovett takes over her mother’s packhorse library route and delivers books to remote areas of Appalachia.,https://storage.googleapis.com/du-prd/books/images/9781728242590.jpg
"May 22, 2022",THE INVESTIGATOR,John Sandford,"Letty Davenport, the adopted daughter of Lucas Davenport, looks into oil thefts in Texas.",https://storage.googleapis.com/du-prd/books/images/9780593328682.jpg
"May 22, 2022",PEOPLE WE MEET ON VACATION,Emily Henry,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,https://storage.googleapis.com/du-prd/books/images/9781984806758.jpg
"May 15, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"May 15, 2022",DREAM TOWN,David Baldacci,"The third book in the Archer series. Archer, Dash and Callahan search for a missing screenwriter who had a dead body turn up in her home.",https://storage.googleapis.com/du-prd/books/images/9781538719770.jpg
"May 15, 2022",CITY ON FIRE,Don Winslow,Two rival crime families that control all of New England start a war against each other.,https://storage.googleapis.com/du-prd/books/images/9780062851192.jpg
"May 15, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"May 15, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"May 15, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"May 15, 2022",SHADOW FIRE,Christine Feehan,The seventh book in the Shadow Riders series. Elie Archambault decides to marry a woman he has never met.,https://storage.googleapis.com/du-prd/books/images/9780593439128.jpg
"May 15, 2022",THE GOOD LEFT UNDONE,Adriana Trigiani,"The matriarch of the Cabrelli family, who is near the end of her life, shares her mother’s love story with her family.",https://storage.googleapis.com/du-prd/books/images/9780593183328.jpg
"May 15, 2022","RUN, ROSE, RUN",Dolly Parton and James Patterson,A singer-songwriter goes to Nashville seeking stardom but is followed by her dark past.,https://storage.googleapis.com/du-prd/books/images/9780759554344.jpg
"May 15, 2022",THE INVESTIGATOR,John Sandford,"Letty Davenport, the adopted daughter of Lucas Davenport, looks into oil thefts in Texas.",https://storage.googleapis.com/du-prd/books/images/9780593328682.jpg
"May 15, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"May 15, 2022",BETTER OFF DEAD,Lee Child and Andrew Child,The 26th book in the Jack Reacher series. Reacher helps an F.B.I. agent look for her missing brother and takes on a foe named Dendoncker.,https://storage.googleapis.com/du-prd/books/images/9781984818508.jpg
"May 15, 2022",SEA OF TRANQUILITY,Emily St. John Mandel,A detective investigating in the wilderness discovers that his actions might affect the timeline of the universe.,https://storage.googleapis.com/du-prd/books/images/9780593321447.jpg
"May 15, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"May 15, 2022",THE PARIS APARTMENT,Lucy Foley,Jess has suspicions about her half-brother’s neighbors when he goes missing.,https://storage.googleapis.com/du-prd/books/images/9780063003057.jpg
"May 8, 2022",DREAM TOWN,David Baldacci,"The third book in the Archer series. Archer, Dash and Callahan search for a missing screenwriter who had a dead body turn up in her home.",https://storage.googleapis.com/du-prd/books/images/9781538719770.jpg
"May 8, 2022",BEAUTIFUL,Danielle Steel,A supermodel deals with the effects of a terror attack at an airport in Brussels on her life and appearance.,https://storage.googleapis.com/du-prd/books/images/9781984821645.jpg
"May 8, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"May 8, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"May 8, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"May 8, 2022",KINGDOM OF BONES,James Rollins,The 16th book in the Sigma Force series. An unknown force is putting people in a catatonic state in a village in the Congo.,https://storage.googleapis.com/du-prd/books/images/9780062892980.jpg
"May 8, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"May 8, 2022",DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,Detective Walter O’Brien is obsessed with an escape artist who bludgeoned her kidnapper and avoided police custody.,https://storage.googleapis.com/du-prd/books/images/9781538753095.jpg
"May 8, 2022",THE INVESTIGATOR,John Sandford,"Letty Davenport, the adopted daughter of Lucas Davenport, looks into oil thefts in Texas.",https://storage.googleapis.com/du-prd/books/images/9780593328682.jpg
"May 8, 2022","RUN, ROSE, RUN",Dolly Parton and James Patterson,A singer-songwriter goes to Nashville seeking stardom but is followed by her dark past.,https://storage.googleapis.com/du-prd/books/images/9780759554344.jpg
"May 8, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"May 8, 2022",SEA OF TRANQUILITY,Emily St. John Mandel,A detective investigating in the wilderness discovers that his actions might affect the timeline of the universe.,https://storage.googleapis.com/du-prd/books/images/9780593321447.jpg
"May 8, 2022",PART OF YOUR WORLD,Abby Jimenez,A city doctor must choose between her family’s wishes of becoming a world-renowned surgeon or having a life with a ridiculously hot carpenter.,https://storage.googleapis.com/du-prd/books/images/9781538704370.jpg
"May 8, 2022",THE PARIS APARTMENT,Lucy Foley,Jess has suspicions about her half-brother’s neighbors when he goes missing.,https://storage.googleapis.com/du-prd/books/images/9780063003057.jpg
"May 8, 2022",WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,A brush with members of a drug-trafficking organization ushers a suburban family to go into the witness protection program.,https://storage.googleapis.com/du-prd/books/images/9780525539674.jpg
