data_type,feature,description
object,date,Date listed is local to the match
object,time,Time listed is local to the match venue (24 hour notation)
object,comp,Competition - Number next to competition states which level in the country's league pyramid this league occupies.
object,round,Round or Phase of Competition
object,day,Day of week
object,venue,Home or Away
object,result,Match Outcome
object,gf,Goals For
object,ga,Goals Against
object,opponent
float64,matches_attendance
object,matches_captain
object,matches_formation
object,matches_referee
float64,shooting_standard_gls,Goals scored or allowed
float64,shooting_standard_sh,Shots Total (Does not include PKs)
float64,shooting_standard_sot,Shots on target (Does not include PKs)
float64,shooting_standard_sot%,Percentage of shots that are on target (Does not include PKs)
float64,shooting_standard_g/sh,Goals per shot
float64,shooting_standard_g/sot,Goals per shot on target
float64,shooting_standard_dist,Average distance in yards from goal of all shots taken
float64,shooting_standard_fk,Shots from free kicks
float64,shooting_standard_pk,Penalty Kicks Made
float64,shooting_standard_pkatt,Penalty Kicks Attempted
float64,shooting_expected_xg,Expected Goals - xG totals include penalty kicks but do not include penalty shootouts (unless otherwise noted). - Provided by StatsBomb.
float64,shooting_expected_npxg,Non-Penalty Expected Goals - Provided by StatsBomb.
float64,shooting_expected_npxg/sh,Non-Penalty Expected Goals per shot - Provided by StatsBomb.
float64,shooting_expected_g_xg,Goals minus Expected Goals - xG totals include penalty kicks but do not include penalty shootouts (unless otherwise noted). - Provided by StatsBomb.
float64,shooting_expected_np_g_xg,Non-Penalty Goals minus Non-Penalty Expected Goals - xG totals include penalty kicks but do not include penalty shootouts (unless otherwise noted). - Provided by StatsBomb.
object,shooting_match_report
float64,possession_poss,Number of times a player touched the ball. Note: Receiving a pass then dribbling then sending a pass counts as one touch
float64,possession_touches_touches,Touches in defensive penalty area
float64,possession_touches_def_pen,Touches in defensive penalty area
float64,possession_touches_def_3rd,Touches in defensive 1/3
float64,possession_touches_mid_3rd,Touches in middle 1/3
float64,possession_touches_att_3rd,Touches in attacking 1/3
float64,possession_touches_att_pen,Touches in attacking penalty area
float64,possession_touches_live,Live-ball touches. Does not include corner kicks free kicks throw-ins kick-offs goal kicks or penalty kicks
float64,possession_dribbles_succ,Dribbles Completed Successfully
float64,possession_dribbles_att,Dribbles Attempted
float64,possession_dribbles_succ%,Percentage of Dribbles Completed Successfully
float64,possession_dribbles_#pl,Number of Players Dribbled Past
float64,possession_dribbles_megs,Number of times a player dribbled the ball through an opposing player's legs
float64,possession_carries_carries,Number of times the player controlled the ball with their feet
float64,possession_carries_totdist,total distance in yards a player moved the ball while controlling it with their feet in any direction
float64,possession_carries_prgdist,Progressive Distance - total distance a player moved the ball while controlling it with their feet towards the opponent's goal
float64,possession_carries_prog,Carries that move the ball towards the opponent's goal at least 5 yards or any carry into the penalty area. Excludes carries from the defending 40% of the pitch
float64,possession_carries_1/3,Carries that enter the 1/3 of the pitch closest to the goal
float64,possession_carries_cpa,Carries into the 18-yard box
float64,possession_carries_mis,Number of times a player failed when attempting to gain control of a ball
float64,possession_carries_dis,Number of times a player loses control of the ball after being tackled by an opposing player. Does not include attempted dribbles
float64,possession_receiving_targ,Number of times a player was the target of an attempted pass
float64,possession_receiving_rec,Number of times a player successfully received a pass
float64,possession_receiving_rec%,Passes Received Percentage - Percentage of time a player successfully received a pass
float64,possession_receiving_prog,Progressive Passes Received - Completed passes that move the ball towards the opponent's goal at least 10 yards from its furthest point in the last six passes or any completed pass into the penalty area. Excludes passes from the defending 40% of the pitch
object,possession_match_report
float64,passing_total_cmp,Passes Completed
float64,passing_total_att,Passes Attempted
float64,passing_total_cmp%,Pass Completion Percentage
float64,passing_total_totdist,Total distance in yards that completed passes have traveled in any direction
float64,passing_total_prgdist,Progressive Distance - Total distance in yards that completed passes have traveled towards the opponent's goal. Note: Passes away from opponent's goal are counted as zero progressive yards.
float64,passing_short_cmp,Passes Completed - Passes between 5 and 15 yards
float64,passing_short_att
float64,passing_short_cmp%
float64,passing_medium_cmp,Passes Completed - Passes between 15 and 30 yards
float64,passing_medium_att
float64,passing_medium_cmp%
float64,passing_long_cmp,Passes Completed - Passes longer than 30 yards
float64,passing_long_att
float64,passing_long_cmp%
float64,passing_ast,Assists
float64,passing_xa,xG Assisted
float64,passing_kp,Passes that directly lead to a shot (assisted shots)
float64,passing_1/3,Completed passes that enter the 1/3 of the pitch closest to the goal Not including set pieces
float64,passing_ppa,Completed passes into the 18-yard box Not including set pieces
float64,passing_crspa,Completed crosses into the 18-yard box Not including set pieces
float64,passing_prog,Progressive Passes - Completed passes that move the ball towards the opponent's goal at least 10 yards from its furthest point in the last six passes or any completed pass into the penalty area. Excludes passes from the defending 40% of the pitch
object,passing_match_report
float64,defense_tackles_tkl,Number of players tackled
float64,defense_tackles_tklw,Tackles in which the tackler's team won possession of the ball
float64,defense_tackles_def_3rd,Tackles in defensive 1/3
float64,defense_tackles_mid_3rd,Tackles in middle 1/3
float64,defense_tackles_att_3rd, Tackles in attacking 1/3
float64,defense_vs_dribbles_tkl,Number of dribblers tackled
float64,defense_vs_dribbles_att,Number of times dribbled past plus number of tackles
float64,defense_vs_dribbles_tkl%,Percentage of dribblers tackled
float64,defense_vs_dribbles_past,Number of times dribbled past by an opposing player
float64,defense_pressures_press,Number of times applying pressure to opposing player who is receiving carrying or releasing the ball
float64,defense_pressures_succ,Number of times the squad gained possession withing five seconds of applying pressure
float64,defense_pressures_%,Successful Pressure Percentage
float64,defense_pressures_def_3rd,Number of times applying pressure to opposing player who is receiving carrying or releasing the ball in the defensive 1/3
float64,defense_pressures_mid_3rd,Number of times applying pressure to opposing player who is receiving carrying or releasing the ball in the middle 1/3
float64,defense_pressures_att_3rd,Number of times applying pressure to opposing player who is receiving carrying or releasing the ball in the attacking 1/3
float64,defense_blocks_blocks,Number of times blocking the ball by standing in its path
float64,defense_blocks_sh,Number of times blocking a shot by standing in its path
float64,defense_blocks_shsv,Number of times blocking a shot that was on target by standing in its path
float64,defense_blocks_pass,Number of times blocking a pass by standing in its path
float64,defense_int,Interceptions
float64,defense_tkl+int,Number of players tackled plus number of interceptions
float64,defense_clr,Clearances
float64,defense_err,Mistakes leading to an opponent's shot
object,defense_match_report
object,team
